year,country,country_id,artist,song,language,final_place,final_points,final_points_tele,final_points_jury,final_running,which_semifinal,semifinal_place,semifinal_points,semifinal_points_tele,semifinal_points_jury,semifinal_running
1972,Sweden,se,Family Four,Härliga sommardag,Swedish,13,75,,,14.0,No Semifinal,,,,,
1972,Switzerland,ch,Véronique Müller,C'est la chanson de mon amour,French,8,88,,,8.0,No Semifinal,,,,,
1972,United Kingdom,gb,The New Seekers,"Beg, Steal or Borrow",English,2,114,,,5.0,No Semifinal,,,,,
1972,Yugoslavia,yu,Tereza Kesovija,Muzika i ti,Serbo-Croatian,9,87,,,13.0,No Semifinal,,,,,
1973,Belgium,be,Nicole & Hugo,"Baby, Baby",Dutch,17,58,,,2.0,No Semifinal,,,,,
1973,Finland,fi,Marion Rung,Tom Tom Tom,English,6,93,,,1.0,No Semifinal,,,,,
1973,France,fr,Martine Clémenceau,Sans toi,French,15,65,,,16.0,No Semifinal,,,,,
1973,Germany,de,Gitte,Junger Tag,German,8,85,,,4.0,No Semifinal,,,,,
1973,Ireland,ie,Maxi,Do I Dream,English,10,80,,,14.0,No Semifinal,,,,,
1973,Israel,il,Ilanit,Ey Sham (אי שם),Hebrew,4,97,,,17.0,No Semifinal,,,,,
1973,Italy,it,Massimo Ranieri,Chi sarà con te,Italian,13,74,,,10.0,No Semifinal,,,,,
1973,Luxembourg,lu,Anne-Marie David,Tu te reconnaîtras,French,1,129,,,11.0,No Semifinal,,,,,
1973,Monaco,mc,Marie,Un train qui part,French,8,85,,,6.0,No Semifinal,,,,,
1973,Netherlands,nl,Ben Cramer,De oude muzikant,Dutch,14,69,,,13.0,No Semifinal,,,,,
1973,Norway,no,Bendik Singers,It's Just A Game,"English, French",7,89,,,5.0,No Semifinal,,,,,
1973,Portugal,pt,Fernando Tordo,Tourada,Portuguese,10,80,,,3.0,No Semifinal,,,,,
1973,Spain,es,Mocedades,Eres tú,Spanish,2,125,,,7.0,No Semifinal,,,,,
1973,Sweden,se,The Novas & The Dolls,You're Summer,English,5,94,,,12.0,No Semifinal,,,,,
1973,Switzerland,ch,Patrick Juvet,"Je vais me marier, Marie",French,12,79,,,8.0,No Semifinal,,,,,
1973,United Kingdom,gb,Cliff Richard,Power to All Our Friends,English,3,123,,,15.0,No Semifinal,,,,,
1973,Yugoslavia,yu,Zdravko Čolić,Gori vatra,Serbo-Croatian,15,65,,,9.0,No Semifinal,,,,,
1974,Belgium,be,Jacques Hustin,Fleur de liberté,French,9,10,,,11.0,No Semifinal,,,,,
1974,Finland,fi,Carita,Keep Me Warm,English,13,4,,,1.0,No Semifinal,,,,,
1974,Germany,de,Cindy & Bert,Die Sommermelodie,German,14,3,,,14.0,No Semifinal,,,,,
1974,Greece,gr,Marinella,"Krasi, thalassa ke t' agori mou (Κρασί, θάλασσα και τ' αγόρι μου)",Greek,11,7,,,5.0,No Semifinal,,,,,
1974,Ireland,ie,Tina Reynolds,Cross Your Heart,English,7,11,,,13.0,No Semifinal,,,,,
1974,Israel,il,Kaveret,Natati La Khayay (נתתי לה חיי),Hebrew,7,11,,,6.0,No Semifinal,,,,,
1974,Italy,it,Gigliola Cinquetti,Sì,Italian,2,18,,,17.0,No Semifinal,,,,,
1974,Luxembourg,lu,Ireen Sheer,Bye Bye I Love You,French,4,14,,,9.0,No Semifinal,,,,,
1974,Monaco,mc,Romuald,Celui qui reste et celui qui s'en va,French,4,14,,,10.0,No Semifinal,,,,,
1974,Netherlands,nl,Mouth & MacNeal,I See a Star,English,3,15,,,12.0,No Semifinal,,,,,
1974,Norway,no,Anne-Karine Strøm feat. Bendik Singers,The First Day of Love,English,14,3,,,4.0,No Semifinal,,,,,
1974,Portugal,pt,Paulo de Carvalho,E depois do adeus,Portuguese,14,3,,,16.0,No Semifinal,,,,,
1974,Spain,es,Peret,Canta y sé feliz,Spanish,9,10,,,3.0,No Semifinal,,,,,
1974,Sweden,se,ABBA,Waterloo,English,1,24,,,8.0,No Semifinal,,,,,
1974,Switzerland,ch,Piera Martell,Mein Ruf nach dir,German,14,3,,,15.0,No Semifinal,,,,,
1974,United Kingdom,gb,Olivia Newton-John,Long Live Love,English,4,14,,,2.0,No Semifinal,,,,,
1974,Yugoslavia,yu,Korni Grupa,Generacija '42 (Генерација '42),Serbo-Croatian,12,6,,,7.0,No Semifinal,,,,,
1975,Belgium,be,Ann Christy,Gelukkig zijn,"Dutch, English",15,17,,,11.0,No Semifinal,,,,,
1975,Finland,fi,Pihasoittajat,Old Man Fiddle,English,7,74,,,15.0,No Semifinal,,,,,
1975,France,fr,Nicole Rieu,Et bonjour à toi l'artiste,French,4,91,,,3.0,No Semifinal,,,,,
1975,Germany,de,Joy Fleming,Ein Lied kann eine Brücke sein,"German, English",17,15,,,4.0,No Semifinal,,,,,
1975,Ireland,ie,The Swarbriggs,That's What Friends Are For,English,9,68,,,2.0,No Semifinal,,,,,
1975,Israel,il,Shlomo Artzi,At Va'Ani (את ואני),Hebrew,11,40,,,12.0,No Semifinal,,,,,
1975,Italy,it,Wess & Dori Ghezzi,Era,Italian,3,115,,,19.0,No Semifinal,,,,,
1975,Luxembourg,lu,Geraldine,Toi,French,5,84,,,5.0,No Semifinal,,,,,
1975,Malta,mt,Renato,Singing This Song,English,12,32,,,10.0,No Semifinal,,,,,
1975,Monaco,mc,Sophie Hecquet,Une chanson c'est une lettre,French,13,22,,,14.0,No Semifinal,,,,,
1975,Netherlands,nl,Teach-In,Ding-a-dong,English,1,152,,,1.0,No Semifinal,,,,,
1975,Norway,no,Ellen Nikolaysen,Touch My Life (With Summer),English,18,11,,,6.0,No Semifinal,,,,,
1975,Portugal,pt,Duarte Mendes,Madrugada,Portuguese,16,16,,,16.0,No Semifinal,,,,,
1975,Spain,es,Sergio & Estíbaliz,Tú volverás,Spanish,10,53,,,17.0,No Semifinal,,,,,
1975,Sweden,se,Lasse Berghagen,"Jennie, Jennie",English,8,72,,,18.0,No Semifinal,,,,,
1975,Switzerland,ch,Simone Drexel,Mikado,German,6,77,,,7.0,No Semifinal,,,,,
1975,Turkey,tr,Semiha Yankı,Seninle Bir Dakika,Turkish,19,3,,,13.0,No Semifinal,,,,,
1975,United Kingdom,gb,The Shadows,Let Me Be The One,English,2,138,,,9.0,No Semifinal,,,,,
1975,Yugoslavia,yu,Pepel in kri,Dan ljubezni,Slovene,13,22,,,8.0,No Semifinal,,,,,
1976,Austria,at,Waterloo & Robinson,My Little World,English,5,80,,,14.0,No Semifinal,,,,,
1976,Belgium,be,Pierre Rapsat,Judy et Cie,French,8,68,,,6.0,No Semifinal,,,,,
1976,Finland,fi,Fredi & Ystävät,Pump-Pump,English,11,44,,,11.0,No Semifinal,,,,,
1976,France,fr,Catherine Ferry,"Un, deux, trois",French,2,147,,,17.0,No Semifinal,,,,,
1976,Germany,de,Les Humphries Singers,Sing Sang Song,German,15,12,,,3.0,No Semifinal,,,,,
1976,Greece,gr,Mariza Koch,"Panagia mou, Panagia mou (Παναγιά μου, Παναγιά μου)",Greek,13,20,,,10.0,No Semifinal,,,,,
1976,Ireland,ie,Red Hurley,When,English,10,54,,,7.0,No Semifinal,,,,,
1976,Israel,il,"Chocolate, Menta, Mastik",Emor Shalom (אמור שלום),Hebrew,6,77,,,4.0,No Semifinal,,,,,
1976,Italy,it,Al Bano & Romina Power,We'll Live It All Again,"English, Italian",7,69,,,13.0,No Semifinal,,,,,
1976,Luxembourg,lu,Jürgen Marcus,Chansons pour ceux qui s'aiment,French,14,17,,,5.0,No Semifinal,,,,,
1976,Monaco,mc,Mary Christy,"Toi, la musique et moi",French,3,93,,,16.0,No Semifinal,,,,,
1976,Netherlands,nl,Sandra Reemer,The Party's Over,English,9,56,,,8.0,No Semifinal,,,,,
1976,Norway,no,Anne-Karine Strøm,Mata Hari,English,18,7,,,9.0,No Semifinal,,,,,
1976,Portugal,pt,Carlos do Carmo,Uma flor de verde pinho,Portuguese,12,24,,,15.0,No Semifinal,,,,,
1976,Spain,es,Braulio,Sobran las palabras,Spanish,16,11,,,12.0,No Semifinal,,,,,
1976,Switzerland,ch,"Peter, Sue and Marc","Djambo, Djambo",English,4,91,,,2.0,No Semifinal,,,,,
1976,United Kingdom,gb,Brotherhood of Man,Save Your Kisses for Me,English,1,164,,,1.0,No Semifinal,,,,,
1976,Yugoslavia,yu,Ambasadori,Ne mogu skriti svoju bol,Serbo-Croatian,17,10,,,18.0,No Semifinal,,,,,
1977,Austria,at,Schmetterlinge,Boom Boom Boomerang,German,17,11,,,4.0,No Semifinal,,,,,
1977,Belgium,be,Dream Express,"A Million in One, Two, Three",English,7,69,,,17.0,No Semifinal,,,,,
1977,Finland,fi,Monica Aspelund,Lapponia,Finnish,10,50,,,16.0,No Semifinal,,,,,
1977,France,fr,Marie Myriam,L'oiseau et l'enfant,French,1,136,,,18.0,No Semifinal,,,,,
1977,Germany,de,Silver Convention,Telegram,English,8,55,,,6.0,No Semifinal,,,,,
1977,Greece,gr,"Paschalis, Marianna, Robert & Bessy",Mathima solfez (Μάθημα σολφέζ),Greek,5,92,,,10.0,No Semifinal,,,,,
1977,Ireland,ie,The Swarbriggs Plus Two,It's Nice to Be in Love Again,English,3,119,,,1.0,No Semifinal,,,,,
1977,Israel,il,Ilanit,Ahava Hi Shir Lishnayim (אהבה היא שיר לשניים),Hebrew,11,49,,,11.0,No Semifinal,,,,,
1977,Italy,it,Mia Martini,Libera,Italian,13,33,,,15.0,No Semifinal,,,,,
1977,Luxembourg,lu,Anne-Marie B,Frère Jacques,French,16,17,,,7.0,No Semifinal,,,,,
1977,Monaco,mc,Michèle Torr,Une petite française,French,4,96,,,2.0,No Semifinal,,,,,
1977,Netherlands,nl,Heddy Lester,De mallemolen,Dutch,12,35,,,3.0,No Semifinal,,,,,
1977,Norway,no,Anita Skorgan,Casanova,Norwegian,14,18,,,5.0,No Semifinal,,,,,
1977,Portugal,pt,Os Amigos,Portugal no coração,Portuguese,14,18,,,8.0,No Semifinal,,,,,
1977,Spain,es,Micky,Enséñame a cantar,Spanish,9,52,,,14.0,No Semifinal,,,,,
1977,Sweden,se,Forbes,Beatles,Swedish,18,2,,,13.0,No Semifinal,,,,,
1977,Switzerland,ch,Pepe Lienhard Band,Swiss Lady,German,6,71,,,12.0,No Semifinal,,,,,
1977,United Kingdom,gb,Lynsey de Paul & Mike Moran,Rock Bottom,English,2,121,,,9.0,No Semifinal,,,,,
1978,Austria,at,Springtime,Mrs. Caroline Robinson,German,15,14,,,19.0,No Semifinal,,,,,
1978,Belgium,be,Jean Vallée,L'amour ça fait chanter la vie,French,2,125,,,10.0,No Semifinal,,,,,
1978,Denmark,dk,Mabel,Boom Boom,Danish,16,13,,,16.0,No Semifinal,,,,,
1978,Finland,fi,Seija Simola,Anna rakkaudelle tilaisuus,Finnish,18,2,,,4.0,No Semifinal,,,,,
1978,France,fr,Joël Prévost,Il y aura toujours des violons,French,3,119,,,6.0,No Semifinal,,,,,
1978,Germany,de,Ireen Sheer,Feuer,German,6,84,,,13.0,No Semifinal,,,,,
1978,Greece,gr,Tania Tsanaklidou,Charlie Chaplin (Τσάρλυ Τσάπλιν),Greek,8,66,,,15.0,No Semifinal,,,,,
1978,Ireland,ie,Colm C. T. Wilkinson,Born to Sing,English,5,86,,,1.0,No Semifinal,,,,,
1978,Israel,il,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi (א-ב-ני-בי),Hebrew,1,157,,,18.0,No Semifinal,,,,,
1978,Italy,it,Ricchi e Poveri,Questo amore,Italian,12,53,,,3.0,No Semifinal,,,,,
1978,Luxembourg,lu,Baccara,Parlez-vous français?,French,7,73,,,17.0,No Semifinal,,,,,
1978,Monaco,mc,Caline & Olivier Toussaint,Les jardins de Monaco,French,4,107,,,14.0,No Semifinal,,,,,
1978,Netherlands,nl,Harmony,t Is OK,Dutch,13,37,,,11.0,No Semifinal,,,,,
1978,Norway,no,Jahn Teigen,Mil etter mil,Norwegian,20,0,,,2.0,No Semifinal,,,,,
1978,Portugal,pt,Gemini,Dai li dou,Portuguese,17,5,,,5.0,No Semifinal,,,,,
1978,Spain,es,José Vélez,Bailemos un vals,Spanish,9,65,,,7.0,No Semifinal,,,,,
1978,Sweden,se,Björn Skifs,Det blir alltid värre framåt natten,Swedish,14,26,,,20.0,No Semifinal,,,,,
1978,Switzerland,ch,Carole Vinci,Vivre,French,9,65,,,9.0,No Semifinal,,,,,
1978,Turkey,tr,Nilüfer & Nazar,Sevince,Turkish,18,2,,,12.0,No Semifinal,,,,,
1978,United Kingdom,gb,Co-Co,The Bad Old Days,English,11,61,,,8.0,No Semifinal,,,,,
1979,Austria,at,Christina Simon,Heute in Jerusalem,German,18,5,,,18.0,No Semifinal,,,,,
1979,Belgium,be,Micha Marah,Hey Nana,Dutch,18,5,,,12.0,No Semifinal,,,,,
1979,Denmark,dk,Tommy Seebach,Disco Tango,Danish,6,76,,,3.0,No Semifinal,,,,,
1979,Finland,fi,Katri Helena,Katson sineen taivaan,Finnish,14,38,,,5.0,No Semifinal,,,,,
1979,France,fr,Anne-Marie David,Je suis l'enfant soleil,French,3,106,,,11.0,No Semifinal,,,,,
1979,Germany,de,Dschinghis Khan,Dschinghis Khan,German,4,86,,,9.0,No Semifinal,,,,,
1979,Greece,gr,Elpida,Sokrati (Σωκράτη),Greek,8,69,,,7.0,No Semifinal,,,,,
1979,Ireland,ie,Cathal Dunne,Happy Man,English,5,80,,,4.0,No Semifinal,,,,,
1979,Israel,il,Milk and Honey,Hallelujah (הללויה),Hebrew,1,125,,,10.0,No Semifinal,,,,,
1979,Italy,it,Matia Bazar,Raggio di luna,Italian,15,27,,,2.0,No Semifinal,,,,,
1979,Luxembourg,lu,Jeane Manson,J'ai déjà vu ça dans tes yeux,French,13,44,,,13.0,No Semifinal,,,,,
1979,Monaco,mc,Laurent Vaguener,Notre vie c'est la musique,French,16,12,,,6.0,No Semifinal,,,,,
1979,Netherlands,nl,Xandra,Colorado,Dutch,12,51,,,14.0,No Semifinal,,,,,
1979,Norway,no,Anita Skorgan,Oliver,Norwegian,11,57,,,16.0,No Semifinal,,,,,
1979,Portugal,pt,Manuela Bravo,"Sobe, sobe, balão sobe",Portuguese,9,64,,,1.0,No Semifinal,,,,,
1979,Spain,es,Betty Missiego,Su canción,Spanish,2,116,,,19.0,No Semifinal,,,,,
1979,Sweden,se,Ted Gärdestad,Satellit,Swedish,17,8,,,15.0,No Semifinal,,,,,
1979,Switzerland,ch,"Peter, Sue, Marc, Pfuri, Gorps and Kniri",Trödler und Co,German,10,60,,,8.0,No Semifinal,,,,,
1979,United Kingdom,gb,Black Lace,Mary Ann,English,7,73,,,17.0,No Semifinal,,,,,
1980,Austria,at,Blue Danube,Du bist Musik,German,8,64,,,1.0,No Semifinal,,,,,
1980,Belgium,be,Telex,Euro-Vision,French,17,14,,,19.0,No Semifinal,,,,,
1980,Denmark,dk,Bamses Venner,Tænker altid på dig,Danish,14,25,,,7.0,No Semifinal,,,,,
1980,Finland,fi,Vesa-Matti Loiri,Huilumies,Finnish,19,6,,,10.0,No Semifinal,,,,,
1980,France,fr,Profil,"Hé, hé, m'sieurs dames",French,11,45,,,16.0,No Semifinal,,,,,
1980,Germany,de,Katja Ebstein,Theater,German,2,128,,,12.0,No Semifinal,,,,,
1980,Greece,gr,Anna Vissi and the Epikouri,Autostop (Ωτοστόπ),Greek,13,30,,,3.0,No Semifinal,,,,,
1980,Ireland,ie,Johnny Logan,What's Another Year,English,1,143,,,17.0,No Semifinal,,,,,
1980,Italy,it,Alan Sorrenti,Non so che darei,Italian,6,87,,,6.0,No Semifinal,,,,,
1980,Luxembourg,lu,Sophie & Magaly,Papa pingouin,French,9,56,,,4.0,No Semifinal,,,,,
1980,Morocco,ma,Samira Bensaïd,Bitaqat Hub (بطاقة حب),Arabic,18,7,,,5.0,No Semifinal,,,,,
1980,Netherlands,nl,Maggie MacNeal,Amsterdam,Dutch,5,93,,,15.0,No Semifinal,,,,,
1980,Norway,no,Sverre Kjelsberg & Mattis Hætta,Sámiid ædnan,"Norwegian, Northern Sami",16,15,,,11.0,No Semifinal,,,,,
1980,Portugal,pt,José Cid,"Um grande, grande amor",Portuguese,7,71,,,14.0,No Semifinal,,,,,
1980,Spain,es,Trigo Limpio,Quédate esta noche,Spanish,12,38,,,18.0,No Semifinal,,,,,
1980,Sweden,se,Tomas Ledin,Just nu!,Swedish,10,47,,,8.0,No Semifinal,,,,,
1980,Switzerland,ch,Paola,Cinéma,French,4,104,,,9.0,No Semifinal,,,,,
1980,Turkey,tr,Ajda Pekkan,Pet'r Oil,Turkish,15,23,,,2.0,No Semifinal,,,,,
1980,United Kingdom,gb,Prima Donna,Love Enough for Two,English,3,106,,,13.0,No Semifinal,,,,,
1981,Austria,at,Marty Brem,Wenn du da bist,German,17,20,,,1.0,No Semifinal,,,,,
1981,Belgium,be,Emly Starr,Samson,Dutch,13,40,,,16.0,No Semifinal,,,,,
1981,Cyprus,cy,Island,Monika (Μόνικα),Greek,6,69,,,18.0,No Semifinal,,,,,
1981,Denmark,dk,Tommy Seebach & Debbie Cameron,Krøller eller ej,Danish,11,41,,,6.0,No Semifinal,,,,,
1981,Finland,fi,Riki Sorsa,Reggae OK,Finnish,16,27,,,8.0,No Semifinal,,,,,
1981,France,fr,Jean Gabilou,Humanahum,French,3,125,,,9.0,No Semifinal,,,,,
1981,Germany,de,Lena Valaitis,Johnny Blue,German,2,132,,,3.0,No Semifinal,,,,,
1981,Greece,gr,Yiannis Dimitras,Feggari kalokerino (Φεγγάρι καλοκαιρινό),Greek,8,55,,,17.0,No Semifinal,,,,,
1981,Ireland,ie,Sheeba,Horoscopes,English,5,105,,,12.0,No Semifinal,,,,,
1981,Israel,il,Hakol Over Habibi,Halayla (הלילה),Hebrew,7,56,,,5.0,No Semifinal,,,,,
1981,Luxembourg,lu,Jean-Claude Pascal,C'est peut-être pas l'Amérique,French,11,41,,,4.0,No Semifinal,,,,,
1981,Netherlands,nl,Linda Williams,Het is een wonder,Dutch,9,51,,,11.0,No Semifinal,,,,,
1981,Norway,no,Finn Kalvik,Aldri i livet,Norwegian,20,0,,,13.0,No Semifinal,,,,,
1981,Portugal,pt,Carlos Paião,Playback,Portuguese,18,9,,,15.0,No Semifinal,,,,,
1981,Spain,es,Bacchelli,Y sólo tú,Spanish,14,38,,,10.0,No Semifinal,,,,,
1981,Sweden,se,Björn Skifs,Fångad i en dröm,Swedish,10,50,,,20.0,No Semifinal,,,,,
1981,Switzerland,ch,"Peter, Sue and Marc",Io senza te,Italian,4,121,,,19.0,No Semifinal,,,,,
1981,Turkey,tr,Modern Folk Üçlüsü & Ayşegül,Dönme Dolap,Turkish,18,9,,,2.0,No Semifinal,,,,,
1981,United Kingdom,gb,Bucks Fizz,Making Your Mind Up,English,1,136,,,14.0,No Semifinal,,,,,
1981,Yugoslavia,yu,"Seid Memić ""Vajta""",Lejla,Serbo-Croatian,15,35,,,7.0,No Semifinal,,,,,
1982,Austria,at,Mess,Sonntag,German,9,57,,,10.0,No Semifinal,,,,,
1982,Belgium,be,Stella,Si tu aimes ma musique,French,4,96,,,11.0,No Semifinal,,,,,
1982,Cyprus,cy,Anna Vissi,Mono i agapi (Μόνο η αγάπη),Greek,5,85,,,8.0,No Semifinal,,,,,
1982,Denmark,dk,Brixx,"Video, Video",Danish,17,5,,,13.0,No Semifinal,,,,,
1982,Finland,fi,Kojo,Nuku pommiin,Finnish,18,0,,,6.0,No Semifinal,,,,,
1982,Germany,de,Nicole,Ein bißchen Frieden,German,1,161,,,18.0,No Semifinal,,,,,
1982,Ireland,ie,The Duskeys,Here Today Gone Tomorrow,English,11,49,,,17.0,No Semifinal,,,,,
1982,Israel,il,Avi Toledano,Hora (הורה),Hebrew,2,100,,,15.0,No Semifinal,,,,,
1982,Luxembourg,lu,Svetlana,Cours après le temps,French,6,78,,,2.0,No Semifinal,,,,,
1982,Netherlands,nl,Bill van Dijk,Jij en ik,Dutch,16,8,,,16.0,No Semifinal,,,,,
1982,Norway,no,Jahn Teigen & Anita Skorgan,Adieu,Norwegian,12,40,,,3.0,No Semifinal,,,,,
1982,Portugal,pt,Doce,Bem bom,Portuguese,13,32,,,1.0,No Semifinal,,,,,
1982,Spain,es,Lucía,Él,Spanish,10,52,,,12.0,No Semifinal,,,,,
1982,Sweden,se,Chips,Dag efter dag,Swedish,8,67,,,9.0,No Semifinal,,,,,
1982,Switzerland,ch,Arlette Zola,Amour on t'aime,French,3,97,,,7.0,No Semifinal,,,,,
1982,Turkey,tr,Neco,Hani?,Turkish,15,20,,,5.0,No Semifinal,,,,,
1982,United Kingdom,gb,Bardo,One Step Further,English,7,76,,,4.0,No Semifinal,,,,,
1982,Yugoslavia,yu,Aska,"Halo, halo (Хало, хало)",Serbo-Croatian,14,21,,,14.0,No Semifinal,,,,,
1983,Austria,at,Westend,Hurricane,German,9,53,,,18.0,No Semifinal,,,,,
1983,Belgium,be,Pas de Deux,Rendez-vous,Dutch,18,13,,,19.0,No Semifinal,,,,,
1983,Cyprus,cy,Stavros & Constantina,I agapi akoma zi (Η αγάπη ακόμα ζει),Greek,16,26,,,13.0,No Semifinal,,,,,
1983,Denmark,dk,Gry Johansen,Kloden drejer,Danish,17,16,,,15.0,No Semifinal,,,,,
1983,Finland,fi,Ami Aspelund,Fantasiaa,Finnish,11,41,,,9.0,No Semifinal,,,,,
1983,France,fr,Guy Bonnet,Vivre,French,8,56,,,1.0,No Semifinal,,,,,
1983,Germany,de,Hoffmann & Hoffmann,Rücksicht,German,5,94,,,14.0,No Semifinal,,,,,
1983,Greece,gr,Christie Stasinopoulou,Mou les (Μου λες),Greek,14,32,,,10.0,No Semifinal,,,,,
1983,Israel,il,Ofra Haza,Hi (חי),Hebrew,2,136,,,16.0,No Semifinal,,,,,
1983,Italy,it,Riccardo Fogli,Per Lucia,Italian,11,41,,,5.0,No Semifinal,,,,,
1983,Luxembourg,lu,Corinne Hermès,Si la vie est cadeau,French,1,142,,,20.0,No Semifinal,,,,,
1983,Netherlands,nl,Bernadette,Sing Me a Song,Dutch,7,66,,,11.0,No Semifinal,,,,,
1983,Norway,no,Jahn Teigen,Do Re Mi,Norwegian,9,53,,,2.0,No Semifinal,,,,,
1983,Portugal,pt,Armando Gama,Esta balada que te dou,Portuguese,13,33,,,17.0,No Semifinal,,,,,
1983,Spain,es,Remedios Amaya,¿Quién maneja mi barca?,Spanish,19,0,,,7.0,No Semifinal,,,,,
1983,Sweden,se,Carola Häggkvist,Främling,Swedish,3,126,,,4.0,No Semifinal,,,,,
1983,Switzerland,ch,Mariella Farré,Io così non ci sto,Italian,15,28,,,8.0,No Semifinal,,,,,
1983,Turkey,tr,Çetin Alp & the Short Waves,Opera,Turkish,19,0,,,6.0,No Semifinal,,,,,
1983,United Kingdom,gb,Sweet Dreams,I'm Never Giving Up,English,6,79,,,3.0,No Semifinal,,,,,
1983,Yugoslavia,yu,Daniel,Džuli,Serbo-Croatian,4,125,,,12.0,No Semifinal,,,,,
1984,Austria,at,Anita,Einfach weg,German,19,5,,,13.0,No Semifinal,,,,,
1984,Belgium,be,Jacques Zegers,Avanti la vie,French,5,70,,,8.0,No Semifinal,,,,,
1984,Cyprus,cy,Andy Paul,Anna Maria Lena (Άννα Μαρία Λένα),Greek,15,31,,,7.0,No Semifinal,,,,,
1984,Denmark,dk,Hot Eyes,Det' lige det,Danish,4,101,,,10.0,No Semifinal,,,,,
1984,Finland,fi,Kirka,Hengaillaan,Finnish,9,46,,,16.0,No Semifinal,,,,,
1984,France,fr,Annick Thoumazeau,Autant d'amoureux que d'étoiles,French,8,61,,,3.0,No Semifinal,,,,,
1984,Germany,de,Mary Roos,Aufrecht geh'n,German,13,34,,,14.0,No Semifinal,,,,,
1984,Ireland,ie,Linda Martin,Terminal 3,English,2,137,,,9.0,No Semifinal,,,,,
1984,Italy,it,Alice & Franco Battiato,I treni di Tozeur,Italian,5,70,,,18.0,No Semifinal,,,,,
1984,Luxembourg,lu,Sophie Carle,100% d'amour,French,10,39,,,2.0,No Semifinal,,,,,
1984,Netherlands,nl,Maribelle,Ik hou van jou,Dutch,13,34,,,11.0,No Semifinal,,,,,
1984,Norway,no,Dollie de Luxe,Lenge leve livet,Norwegian,17,29,,,5.0,No Semifinal,,,,,
1984,Portugal,pt,Maria Guinot,Silêncio e tanta gente,Portuguese,11,38,,,19.0,No Semifinal,,,,,
1984,Spain,es,Bravo,"Lady, Lady",Spanish,3,106,,,4.0,No Semifinal,,,,,
1984,Sweden,se,Herreys,Diggi-Loo Diggi-Ley,Swedish,1,145,,,1.0,No Semifinal,,,,,
1984,Switzerland,ch,Rainy Day,Welche Farbe hat der Sonnenschein?,German,16,30,,,17.0,No Semifinal,,,,,
1984,Turkey,tr,"Beş Yıl Önce, On Yıl Sonra",Halay,Turkish,12,37,,,15.0,No Semifinal,,,,,
1984,United Kingdom,gb,Belle and the Devotions,Love Games,English,7,63,,,6.0,No Semifinal,,,,,
1984,Yugoslavia,yu,Vlado & Isolda,"Ciao, amore",Serbo-Croatian,18,26,,,12.0,No Semifinal,,,,,
1985,Austria,at,Gary Lux,Kinder dieser Welt,German,8,60,,,17.0,No Semifinal,,,,,
1985,Belgium,be,Linda Lepomme,Laat me nu gaan,Dutch,19,7,,,8.0,No Semifinal,,,,,
1985,Cyprus,cy,Lia Vissi,To katalava arga (Το κατάλαβα αργά),Greek,16,15,,,3.0,No Semifinal,,,,,
1985,Denmark,dk,Hot Eyes,Sku' du spørg' fra no'en?,Danish,11,41,,,4.0,No Semifinal,,,,,
1985,Finland,fi,Sonja Lumme,Eläköön elämä,Finnish,9,58,,,2.0,No Semifinal,,,,,
1985,France,fr,Roger Bens,Femme dans ses rêves aussi,French,10,56,,,6.0,No Semifinal,,,,,
1985,Germany,de,Wind,Für alle,German,2,105,,,10.0,No Semifinal,,,,,
1985,Greece,gr,Takis Biniaris,Miazoume (Μοιάζουμε),Greek,16,15,,,19.0,No Semifinal,,,,,
1985,Ireland,ie,Maria Christian,Wait Until the Weekend Comes,English,6,91,,,1.0,No Semifinal,,,,,
1985,Israel,il,Izhar Cohen,"Olé, Olé (עולה, עולה)",Hebrew,5,93,,,11.0,No Semifinal,,,,,
1985,Italy,it,Al Bano & Romina Power,Magic Oh Magic,Italian,7,78,,,12.0,No Semifinal,,,,,
1985,Luxembourg,lu,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts","Children, Kinder, Enfants",French,13,37,,,18.0,No Semifinal,,,,,
1985,Norway,no,Bobbysocks!,La det swinge,Norwegian,1,123,,,13.0,No Semifinal,,,,,
1985,Portugal,pt,Adelaide,"Penso em ti, eu sei",Portuguese,18,9,,,9.0,No Semifinal,,,,,
1985,Spain,es,Paloma San Basilio,La fiesta terminó,Spanish,14,36,,,5.0,No Semifinal,,,,,
1985,Sweden,se,Kikki Danielsson,Bra vibrationer,Swedish,3,103,,,16.0,No Semifinal,,,,,
1985,Switzerland,ch,Mariella Farré & Pino Gasparini,"Piano, piano",German,12,39,,,15.0,No Semifinal,,,,,
1985,Turkey,tr,MFÖ,Didai didai dai,Turkish,14,36,,,7.0,No Semifinal,,,,,
1985,United Kingdom,gb,Vikki,Love Is…,English,4,100,,,14.0,No Semifinal,,,,,
1986,Austria,at,Timna Brauer,Die Zeit ist einsam,German,18,12,,,16.0,No Semifinal,,,,,
1986,Belgium,be,Sandra Kim,J'aime la vie,French,1,176,,,13.0,No Semifinal,,,,,
1986,Cyprus,cy,Elpida,Tora zo (Τώρα ζω),Greek,20,4,,,15.0,No Semifinal,,,,,
1986,Denmark,dk,Lise Haavik,Du er fuld af løgn,Danish,6,77,,,18.0,No Semifinal,,,,,
